X,Y,OBJECTID,CODIGO_ESTACAO,ANO,UF,AMBIENTE,ENTIDADE_RESPONSAVEL,CORPO_DAGUA
-56.725556,-17.311111,1,00MS22CB2156,2004,MS,1,IMASUL,Rio Cuiabá
-56.720833,-17.301667,2,00MS22CB2158,2004,MS,1,IMASUL,Rio Cuiabá
-54.734444,-19.2575,3,00MS22CX0266,2004,MS,1,IMASUL,Rio Coxim
-54.760556,-18.499167,4,00MS22CX2000,2004,MS,1,IMASUL,Rio Coxim
-54.187222,-19.345556,5,00MS22CX2176,2004,MS,1,IMASUL,Rio Coxim
-56.715,-17.322222,6,00MS22IT2000,2004,MS,1,IMASUL,Rio Itiquira
-55.607222,-17.369167,7,00MS22IT2232,2004,MS,1,IMASUL,Rio Itiquira
-55.602778,-17.366667,8,00MS22IT2234,2004,MS,1,IMASUL,Rio Itiquira
-57.573333,-19.005278,9,00MS22PA2135,2004,MS,1,IMASUL,Rio Paraguai
-57.605,-19,10,00MS22PA2140,2004,MS,1,IMASUL,Rio Pargauai
-57.660278,-18.993333,11,00MS22PA2145,2004,MS,1,IMASUL,Rio Paraguai
-57.489167,-18.043611,12,00MS22PA2214,2004,MS,1,IMASUL,Rio Paraguai
-57.466111,-17.890556,13,00MS22PA2366,2004,MS,1,IMASUL,Rio Paraguai
-54.929167,-18.946389,14,00MS22RV0020,2004,MS,1,IMASUL,Rio Verde
-54.826667,-18.890833,15,00MS22RV2008,2004,MS,1,IMASUL,Rio Verde
-57.668056,-18.994722,16,00MS22TG2000,2004,MS,1,IMASUL,Canal do Tamengo
-54.753333,-18.515833,17,00MS22TM2000,2004,MS,1,IMASUL,Rio Taquari-Mirim
-57.226667,-19.234167,18,00MS22TQ2000,2004,MS,1,IMASUL,Rio Taquari
-54.769444,-18.481667,19,00MS22TQ2441,2004,MS,1,IMASUL,Rio Taquari
-54.606389,-18.358611,20,00MS22TQ2481,2004,MS,1,IMASUL,Rio Taquari
-55.834167,-20.463056,21,00MS23AC2000,2004,MS,1,IMASUL,Córrego Agogô
-55.849444,-20.507222,22,00MS23AC2006,2004,MS,1,IMASUL,Córrego Agogô
-54.694167,-19.347222,23,00MS23AQ0575,2004,MS,1,IMASUL,Rio Aquidauana
-55.088056,-20.155278,24,00MS23AQ1424,2004,MS,1,IMASUL,Rio Aquidauana
-54.895278,-19.950278,25,00MS23AQ1476,2004,MS,1,IMASUL,Rio Aquidauana
-56.804167,-19.793611,26,00MS23AQ2000,2004,MS,1,IMASUL,Rio Aquidauana
-55.831389,-20.462222,27,00MS23AQ2284,2004,MS,1,IMASUL,Rio Aquidauana
-55.779722,-20.495833,28,00MS23AQ2291,2004,MS,1,IMASUL,Rio Aquidauana
-56.426944,-21.149167,29,00MS23BO2000,2004,MS,1,IMASUL,Córrego Bonito
-56.461667,-21.126667,30,00MS23BO2008,2004,MS,1,IMASUL,Córrego Bonito
-56.488889,-21.138056,31,00MS23BO2014,2004,MS,1,IMASUL,Córrego Bonito
-55.272222,-20.4775,32,00MS23CH2018,2004,MS,1,IMASUL,Rio Cachoeirão
-55.110556,-20.640833,33,00MS23CN2002,2004,MS,1,IMASUL,Rio Canastrão
-56.444167,-21.173056,34,00MS23FO0065,2004,MS,1,IMASUL,Rio Formoso
-56.509722,-21.236389,35,00MS23FO0073,2004,MS,1,IMASUL,Rio Formoso
-56.228056,-21.098611,36,00MS23FO2000,2004,MS,1,IMASUL,Rio Formos
-56.387222,-21.122222,37,00MS23FO2047,2004,MS,1,IMASUL,Rio Formoso
-56.1203,-21.4831,38,00MS23MI0602,2004,MS,1,IMASUL,Rio Miranda
-56.399167,-20.240833,39,00MS23MI1292,2004,MS,1,IMASUL,Rio Miranda
-41.678333,-21.133056,40,00RJ02IT0100,2004,RJ,1,INEA,Rio Itabapoana
-41.40695,-21.651536,41,00RJ02MR0370,2004,RJ,1,INEA,Rio Muriaé
-42.124289,-21.204164,42,00RJ02MR0374,2004,RJ,1,INEA,Rio Muriaé
-41.994017,-22.726675,43,00RJ02NG0353,2004,RJ,1,INEA,Rio Negro
-43.182539,-22.503911,44,00RJ02PB0002,2004,RJ,1,INEA,Rio Piabanha
-43.143986,-22.126539,45,00RJ02PB0011,2004,RJ,1,INEA,Rio Piabanha
-43.826911,-22.467708,46,00RJ02PI0241,2004,RJ,1,INEA,Rio Piraí
-42.177028,-21.549392,47,00RJ02PM0331,2004,RJ,1,INEA,Rio Pomba
-42.2516,-21.494647,48,00RJ02PM0332,2004,RJ,1,INEA,Rio Pomba
-44.403303,-22.456272,49,00RJ02PP0160,2004,RJ,1,INEA,Rio Pirapetinga
-43.940317,-22.349867,50,00RJ02PQ0113,2004,RJ,1,INEA,Rio Paquequer
-43.914875,-22.248744,51,00RJ02PR0091,2004,RJ,1,INEA,Rio Preto
-44.568494,-22.529033,52,00RJ02PS0410,2004,RJ,2,INEA,Rio Paraíba do Sul
-44.447925,-22.466897,53,00RJ02PS0413,2004,RJ,1,INEA,Rio Paraíba do Sul
-44.300378,-22.450469,54,00RJ02PS0415,2004,RJ,1,INEA,Rio Paraíba do Sul
-44.189953,-22.525772,55,00RJ02PS0418,2004,RJ,1,INEA,Rio Paraíba do Sul
